Name,Value_Counts
1st degree av block,828
2nd degree av block,21
acute myocardial ischemia,1
anterior myocardial infarction,62
atrial fibrillation,1374
atrial fibrillation and flutter,39
atrial flutter,54
atrial hypertrophy,2
atrial tachycardia,15
atrioventricular junctional rhythm,6
av block,5
blocked premature atrial contraction,2
brady tachy syndrome,1
bradycardia,271
chronic atrial fibrillation,1
chronic myocardial ischemia,161
complete heart block,27
complete right bundle branch block,113
decreased qt interval,1
diffuse intraventricular block,1
high t-voltage,1
incomplete left bundle branch block,42
incomplete right bundle branch block,86
inferior ST segment depression,1
junctional escape,4
junctional premature complex,2
junctional tachycardia,2
left atrial enlargement,1
left atrial hypertrophy,40
left bundle branch block,274
left ventricular hypertrophy,158
left ventricular strain,1
myocardial infarction,376
myocardial ischemia,384
nonspecific intraventricular conduction disorder,4
nonspecific st t abnormality,1290
old myocardial infarction,1168
pacing rhythm,3
premature atrial contraction,689
premature ventricular contractions,188
prolonged qt interval,4
qwave abnormal,1
r wave abnormal,1
right atrial hypertrophy,18
right axis deviation,1
right bundle branch block,1858
right ventricular hypertrophy,20
s t changes,1
shortened pr interval,3
sinoatrial block,9
sinus arrhythmia,11
sinus bradycardia,45
sinus rhythm,922
sinus tachycardia,303
st depression,926
st elevation,286
st interval abnormal,481
supraventricular premature beats,53
supraventricular tachycardia,3
t wave abnormal,22
t wave inversion,5
u wave abnormal,1
ventricular bigeminy,5
ventricular ectopics,700
ventricular escape beat,3
ventricular escape rhythm,1
ventricular fibrillation,10
ventricular flutter,1
ventricular hypertrophy,5
ventricular pre excitation,6
ventricular premature beats,8
ventricular tachycardia,1
ventricular trigeminy,4
