Name,Value_Counts
1st degree av block,769
2nd degree av block,23
accelerated junctional rhythm,19
acute myocardial ischemia,1
anterior ischemia,281
atrial fibrillation,570
atrial fibrillation and flutter,2
atrial flutter,186
atrial hypertrophy,60
atrial pacing pattern,52
atrial tachycardia,28
av block,74
bradycardia,6
bundle branch block,116
complete heart block,8
complete right bundle branch block,28
early repolarization,140
incomplete left bundle branch block,86
incomplete right bundle branch block,407
inferior ischaemia,451
junctional escape,5
junctional tachycardia,4
lateral ischaemia,903
left anterior fascicular block,180
left atrial abnormality,72
left atrial enlargement,870
left axis deviation,940
left bundle branch block,231
left posterior fascicular block,25
left ventricular hypertrophy,1232
low qrs voltages,374
myocardial infarction,7
nonspecific intraventricular conduction disorder,203
nonspecific st t abnormality,1883
premature atrial contraction,639
prolonged qt interval,1391
qwave abnormal,464
r wave abnormal,10
right atrial abnormality,14
right axis deviation,83
right bundle branch block,542
right ventricular hypertrophy,86
s t changes,6
shortened pr interval,2
sinus arrhythmia,455
sinus bradycardia,1677
sinus rhythm,1752
sinus tachycardia,1261
st depression,38
st elevation,134
st interval abnormal,992
supraventricular premature beats,1
supraventricular tachycardia,32
suspect arm ecg leads reversed,12
t wave abnormal,2306
t wave inversion,812
ventricular bigeminy,2
ventricular ectopics,41
ventricular escape rhythm,1
ventricular fibrillation,3
ventricular hypertrophy,71
ventricular pacing pattern,46
ventricular pre excitation,2
ventricular premature beats,357
ventricular trigeminy,1
wandering atrial pacemaker,7
wolff parkinson white pattern,2
